fecha,parcela_id,sensor_id,Municipio,estacion_id,t_max,t_min,t_media,humedad_relativa,radiacion_solar,velocidad_viento,precipitacion,Et0,textura_suelo,capacidad_campo,punto_marchitez,densidad_aparente,materia_organica,profundidad_raiz,humedad_volumetrica,temperatura_suelo,calidad_dato,lamina_aplicada_mm,caudal_lps,energia_kwh,metodo_riego,costo_energia,costo_mantenimiento,costo_agua,costo_total,cultivo_id,kc_inicial,kc_medio,kc_final,duracion_dias,recomendacion,accion_tomada,resultado,estado_sistema,ahorro_agua,eficiencia_riego,riesgo_estres,costo_por_mm,confiabilidad_sensores,lat,lon
15/11/2025,P001,S001,Gómez Palacio,DGO_LAGUNA,24.4108015,13.04334925,18.72707538,42.53738023,12.28945984,2.748251802,0,2.343645275,franco-arenoso,0.24,0.1,1.5,1.1,70,0.196463011,15.37926179,OK,6,4.2,7.8,aspersión,140.4,38.40278133,21,199.8027813,C01,0.35,1.1,0.25,130,Regar 6 mm,modificado,Ligero déficit,degradado,0.085272316,0.747063248,0.374702265,28.54325448,0.853011995,25.57,-103.49
15/11/2025,P001,S002,Gómez Palacio,DGO_LAGUNA,22.11608611,11.34356029,16.7298232,37.121732,13.2554666,2.69793836,5,4.178441461,franco-arenoso,0.24,0.1,1.5,1.1,70,0.147447546,19.34472296,OK,8,5.6,10.4,aspersión,187.2,26.8111266,28,242.0111266,C01,0.35,1.1,0.25,130,Regar 8 mm,modificado,humedad adecuada,normal,0.196039206,0.86289079,0.269378469,26.89012518,0.922098586,25.57,-103.49
15/11/2025,P001,S003,Gómez Palacio,DGO_LAGUNA,18.37794342,5.404439473,11.89119145,36.73935158,15.36266749,1.902205722,0,3.831543156,franco-arenoso,0.24,0.1,1.5,1.1,70,0.173636417,17.16611514,OK,12,8.4,15.6,gravedad,280.8,37.92058202,42,360.720582,C01,0.35,1.1,0.25,130,Regar 12 mm,ejecutado,Ligero déficit,normal,0.063588232,0.871241638,0.20420099,27.74773708,0.864352174,25.57,-103.49
15/11/2025,P001,S004,Gómez Palacio,DGO_LAGUNA,28.70761509,12.22381085,20.46571297,36.03336109,18.0710675,1.081602081,0,4.366242256,franco-arenoso,0.24,0.1,1.5,1.1,70,0.214485262,18.33948451,faltante,8,5.6,10.4,gravedad,187.2,52.34944927,28,267.5494493,C01,0.35,1.1,0.25,130,Regar 8 mm,modificado,Estrés hídrico,normal,0.14812284,0.746437252,0.311171543,29.72771659,0.958539459,25.57,-103.49
15/11/2025,P001,S005,Gómez Palacio,DGO_LAGUNA,22.24615705,7.135542982,14.69085002,53.85969571,12.36605665,2.430739333,0,4.472094293,franco-arenoso,0.24,0.1,1.5,1.1,70,0.175297273,14.48410007,sospechoso,15,10.5,19.5,gravedad,351,47.41370094,52.5,450.9137009,C01,0.35,1.1,0.25,130,Regar 15 mm,ignorado,Estrés hídrico,degradado,0.144918422,0.755033895,0.128526777,28.18210631,0.92273231,25.57,-103.49
15/11/2025,P001,S006,Gómez Palacio,DGO_LAGUNA,26.40567753,9.406027992,17.90585276,48.35097877,17.11825498,2.24084318,2,2.67911289,franco-arenoso,0.24,0.1,1.5,1.1,70,0.143427949,18.27292788,OK,10,7,13,gravedad,234,53.67472462,35,322.6747246,C01,0.35,1.1,0.25,130,Regar 10 mm,ejecutado,Ligero déficit,normal,0.086686512,0.774820907,0.376449193,29.33406587,0.907995986,25.57,-103.49
15/11/2025,P001,S007,Gómez Palacio,DGO_LAGUNA,27.77450941,13.39583334,20.58517137,48.47149157,17.99241578,1.627652499,0,2.52669586,franco-arenoso,0.24,0.1,1.5,1.1,70,0.227289139,14.30521338,OK,8,5.6,10.4,goteo,187.2,46.77091591,28,261.9709159,C01,0.35,1.1,0.25,130,Regar 8 mm,ejecutado,Ligero déficit,normal,0.133386678,0.858502252,0.297717516,29.10787955,0.963533387,25.57,-103.49
15/11/2025,P001,S008,Gómez Palacio,DGO_LAGUNA,18.91554006,4.563576207,11.73955813,51.40462562,15.36672959,1.540313273,0,2.938275977,franco-arenoso,0.24,0.1,1.5,1.1,70,0.120352073,16.04478599,OK,8,5.6,10.4,goteo,187.2,37.46043998,28,252.66044,C01,0.35,1.1,0.25,130,Regar 8 mm,ignorado,Ligero déficit,normal,0.222489372,0.891521943,0.284163051,28.07338222,0.906092566,25.57,-103.49
15/11/2025,P001,S009,Gómez Palacio,DGO_LAGUNA,24.0336569,9.16773209,16.60069449,48.42112508,14.97902365,1.542216148,10,2.819669738,franco-arenoso,0.24,0.1,1.5,1.1,70,0.118765283,19.92164245,faltante,6,4.2,7.8,gravedad,140.4,39.31040945,21,200.7104094,C01,0.35,1.1,0.25,130,Regar 6 mm,ejecutado,Estrés hídrico,degradado,0.09110484,0.859341184,0.250251612,28.67291564,0.967859568,25.57,-103.49
15/11/2025,P001,S010,Gómez Palacio,DGO_LAGUNA,28.80520695,12.69181132,20.74850914,29.78946909,12.1825455,1.822867208,5,4.401419889,franco-arenoso,0.24,0.1,1.5,1.1,70,0.22563502,19.11754918,OK,10,7,13,aspersión,234,39.59957616,35,308.5995762,C01,0.35,1.1,0.25,130,Regar 10 mm,modificado,Ligero déficit,degradado,0.122847138,0.794969446,0.156965475,28.05450692,0.855430135,25.57,-103.49
